"","face_PSC","object_PSC","integratedFO_PSC","subj","ROI","hemi"
"107",-1.1175,0.63877,0.74235,1,"medial_obj","Left"
"108",-0.53397,3.5763,2.2265,1,"medial_obj","Left"
"109",-0.51506,11.351,7.8306,1,"medial_obj","Left"
"110",-0.6612,4.5224,3.352,1,"medial_obj","Left"
"111",0.41547,-0.9212,-0.24611,1,"medial_obj","Left"
"112",0.3644,4.9359,2.7839,1,"medial_obj","Left"
"113",-0.6901,5.7281,2.7782,1,"medial_obj","Left"
"114",-0.97234,4.9323,3.4509,1,"medial_obj","Left"
"115",0.3197,5.6594,3.5317,1,"medial_obj","Left"
"116",-1.2539,1.3365,-0.45273,1,"medial_obj","Left"
"117",-0.28327,2.3352,1.2038,1,"medial_obj","Left"
"118",1.6223,6.4747,5.1203,1,"medial_obj","Left"
"119",0.11481,-1.7025,-1.001,1,"medial_obj","Left"
"120",0.41476,0.51727,1.1176,1,"medial_obj","Left"
"121",3.2843,8.6677,9.2129,1,"medial_obj","Right"
"122",2.1429,1.0457,0.92504,1,"medial_obj","Right"
"123",7.6279,9.869,10.258,1,"medial_obj","Right"
"124",2.7847,4.3104,4.256,1,"medial_obj","Right"
"125",-0.13699,2.7399,1.2936,1,"medial_obj","Right"
"126",-1.2243,1.2462,0.28952,1,"medial_obj","Right"
"127",-0.48504,3.2747,1.983,1,"medial_obj","Right"
"128",-1.4549,3.5365,3.0296,1,"medial_obj","Right"
"129",-0.27525,3.5519,3.3466,1,"medial_obj","Right"
"130",-0.17586,1.5765,1.4685,1,"medial_obj","Right"
"131",0.67599,1.7711,0.79962,1,"medial_obj","Right"
"132",0.55765,4.5553,3.6294,1,"medial_obj","Right"
"133",-2.786,2.2781,1.3123,1,"medial_obj","Right"
"134",1.9677,3.966,3.9475,1,"medial_obj","Right"
"135",-0.60793,3.8423,3.3976,1,"medial_obj","Right"
"136",-0.95664,4.5731,2.1181,1,"medial_obj","Right"
"137",0.38037,2.4804,1.1029,1,"medial_obj","Right"
"138",0.2363,0.030311,-0.3832,1,"medial_obj","Right"
"139",0.27167,2.947,1.5387,1,"medial_obj","Right"
"140",0.80605,2.2174,1.8636,1,"medial_obj","Right"
"141",0.68742,2.4437,1.6862,1,"medial_obj","Right"
"142",1.6642,6.6923,3.888,1,"medial_obj","Right"
"143",-0.9949,-0.88521,-0.36506,1,"medial_obj","Right"
"144",-0.94105,1.122,2.2155,1,"medial_obj","Right"
"145",-1.6347,-0.47436,-1.3547,1,"medial_obj","Right"
"146",-0.78404,1.3748,0.81874,1,"medial_obj","Right"
"147",-0.35417,-0.28939,-0.14865,1,"medial_obj","Right"
"148",-0.5082,3.3514,2.2086,1,"medial_obj","Right"
"149",0.15774,1.7379,1.2578,1,"medial_obj","Right"
"150",-0.76646,3.104,1.8699,1,"medial_obj","Right"
"151",3.517,1.2611,3.1587,1,"OFA","Left"
"152",6.6457,3.0611,6.8997,1,"OFA","Left"
"153",8.1272,2.8674,7.2012,1,"OFA","Left"
"154",7.5661,2.7021,6.8739,1,"OFA","Left"
"155",0.68513,-0.12325,0.63269,1,"OFA","Left"
"156",3.6176,1.6804,3.0664,1,"OFA","Left"
"157",-0.8959,-1.479,-0.44514,1,"OFA","Left"
"158",9.7952,6.5258,10.0137,1,"OFA","Left"
"159",7.6964,5.3428,7.2225,1,"OFA","Left"
"160",5.47,0.89709,4.7618,1,"OFA","Left"
"161",6.826,2.3114,6.1244,1,"OFA","Left"
"162",2.12,0.10183,2.7833,1,"OFA","Left"
"163",5.1172,2.9888,4.6824,1,"OFA","Left"
"164",-0.66274,-0.79685,-0.33923,1,"OFA","Left"
"165",2.0356,0.44804,1.6894,1,"OFA","Left"
"166",2.9549,1.0024,2.8762,1,"OFA","Left"
"167",2.5231,1.8963,2.6869,1,"OFA","Left"
"168",4.809,2.2373,3.4258,1,"OFA","Left"
"169",15.6268,6.1818,11.1174,1,"OFA","Left"
"170",6.481,2.1408,5.4268,1,"OFA","Left"
"171",10.5356,4.4671,8.7652,1,"OFA","Left"
"172",7.9921,3.7299,6.8973,1,"OFA","Left"
"173",2.0436,0.84492,0.53851,1,"OFA","Left"
"174",3.2319,0.24552,2.2154,1,"OFA","Left"
"175",3.6557,1.4889,3.303,1,"OFA","Left"
"176",3.334,1.914,2.6299,1,"OFA","Left"
"177",5.1015,1.2098,3.5656,1,"OFA","Left"
"178",3.2772,1.4617,2.2721,1,"OFA","Left"
"179",5.0614,2.6024,3.3409,1,"OFA","Left"
"180",1.3517,1.0446,1.2346,1,"OFA","Left"
"181",6.4934,-0.87112,4.1356,1,"OFA","Right"
"182",2.3798,0.31712,3.4644,1,"OFA","Right"
"183",3.3985,2.3339,3.6515,1,"OFA","Right"
"184",-1.0506,-2.1844,0.77886,1,"OFA","Right"
"185",2.841,0.44355,3.3003,1,"OFA","Right"
"186",3.5982,-0.50357,2.0284,1,"OFA","Right"
"187",3.8225,1.5984,3.3573,1,"OFA","Right"
"188",1.5681,0.2133,2.007,1,"OFA","Right"
"189",0.87699,-0.2487,1.0793,1,"OFA","Right"
"190",3.9,1.8068,4.4446,1,"OFA","Right"
"191",7.8319,3.3023,5.8533,1,"OFA","Right"
"192",9.2457,4.4287,7.3741,1,"OFA","Right"
"193",7.3152,4.5129,6.0316,1,"OFA","Right"
"194",6.146,3.5605,6.0749,1,"OFA","Right"
"195",2.4642,0.6328,1.5182,1,"OFA","Right"
"196",0.81891,-0.67723,-0.53382,1,"OFA","Right"
"197",1.2627,0.65784,0.4915,1,"OFA","Right"
"198",3.2129,0.66645,2.6407,1,"OFA","Right"
"199",3.7482,1.8474,3.1518,1,"OFA","Right"
"200",2.6466,1.2113,2.6257,1,"OFA","Right"
"201",2.6883,-0.872,0.90225,1,"OFA","Right"
"202",3.124,0.60279,2.4563,1,"OFA","Right"
"203",1.7216,1.0691,1.694,1,"OFA","Right"
"204",2.853,0.53468,3.3525,1,"OFA","Right"
"205",17.0448,7.5777,13.8155,1,"OFA","Right"
"206",1.442,1.9375,2.0924,1,"OFA","Right"
"207",1.8745,0.42824,1.6398,1,"OFA","Right"
"208",0.72354,1.0887,0.62354,1,"OFA","Right"
"209",1.0934,0.11034,1.3715,1,"OFA","Right"
"210",1.2345,-0.19975,0.89251,1,"OFA","Right"
"211",2.8724,1.3061,0.86233,1,"EBA","Left"
"212",3.3099,0.33337,2.639,1,"EBA","Left"
"213",0.043359,0.80184,0.75084,1,"EBA","Left"
"214",0.092948,0.22775,0.66844,1,"EBA","Left"
"215",0.59081,-0.62024,0.17346,1,"EBA","Left"
"216",0.21813,0.49788,0.15786,1,"EBA","Left"
"217",-0.4051,-0.02312,1.085,1,"EBA","Left"
"218",0.15159,-0.22676,0.28166,1,"EBA","Left"
"219",2.2052,-0.33323,0.73867,1,"EBA","Left"
"220",1.9265,0.3317,1.43,1,"EBA","Left"
"221",1.0189,-0.3607,0.69866,1,"EBA","Left"
"222",0.25403,0.74798,0.84541,1,"EBA","Left"
"223",0.58817,0.71805,0.13409,1,"EBA","Left"
"224",0.97561,0.32575,1.1429,1,"EBA","Left"
"225",0.57453,0.37121,0.48028,1,"EBA","Left"
"226",0.89284,-0.012066,1.0106,1,"EBA","Left"
"227",0.7737,0.9599,1.0812,1,"EBA","Left"
"228",0.91994,1.3971,1.2465,1,"EBA","Left"
"229",0.2034,-0.41524,-0.075797,1,"EBA","Left"
"230",0.71299,-0.021412,0.56619,1,"EBA","Left"
"231",-0.30528,-0.45773,-0.36678,1,"EBA","Left"
"232",-1.0113,-0.18456,-0.90278,1,"EBA","Left"
"233",0.37924,-0.032406,0.078495,1,"EBA","Left"
"234",0.14386,-1.8649,-1.3832,1,"EBA","Left"
"235",-0.38121,0.28163,-0.54473,1,"EBA","Left"
"236",-0.014493,0.044704,-0.12796,1,"EBA","Left"
"237",0.95144,0.38645,0.80454,1,"EBA","Left"
"238",-0.40967,-0.68785,-0.25903,1,"EBA","Left"
"239",0.99086,0.85721,1.29,1,"EBA","Left"
"240",-0.1383,-0.15664,-0.52703,1,"EBA","Left"
"241",2.429,0.15891,2.4574,1,"EBA","Right"
"242",8.8043,1.8361,7.5138,1,"EBA","Right"
"243",5.5534,1.4809,4.8738,1,"EBA","Right"
"244",1.0829,0.86317,2.5046,1,"EBA","Right"
"245",-0.74172,0.35334,0.52909,1,"EBA","Right"
"246",3.8255,1.6627,3.0539,1,"EBA","Right"
"247",1.7302,0.41989,1.8612,1,"EBA","Right"
"248",1.3615,0.58986,2.2368,1,"EBA","Right"
"249",6.6237,3.3455,6.2603,1,"EBA","Right"
"250",10.7407,5.2887,9.3182,1,"EBA","Right"
"251",2.6914,1.7749,3.2822,1,"EBA","Right"
"252",2.4571,1.4946,2.3005,1,"EBA","Right"
"253",1.5209,0.70505,2.0963,1,"EBA","Right"
"254",2.4125,1.2822,2.4235,1,"EBA","Right"
"255",0.14342,0.14977,-0.147,1,"EBA","Right"
"256",0.95248,1.8878,1.4224,1,"EBA","Right"
"257",0.25127,0.096499,-0.23597,1,"EBA","Right"
"258",1.5094,-1.4266,-0.1963,1,"EBA","Right"
"259",0.37319,-0.87614,1.5991,1,"EBA","Right"
"260",-0.34058,0.67242,1.1002,1,"EBA","Right"
"261",0.95385,-0.07828,0.32196,1,"EBA","Right"
"262",0.2542,-0.54334,-0.55086,1,"EBA","Right"
"263",-0.32743,-0.20133,0.31117,1,"EBA","Right"
"264",-1.8749,-2.4068,-2.7443,1,"EBA","Right"
"265",2.1556,-1.5613,-0.69461,1,"EBA","Right"
"266",5.9761,4.8033,4.2206,1,"EBA","Right"
"267",5.1838,-0.49028,0.97596,1,"EBA","Right"
"268",0.86952,-0.48877,-0.22587,1,"EBA","Right"
"269",3.1628,0.9972,2.0002,1,"EBA","Right"
"270",-0.72119,-1.8517,-1.1116,1,"EBA","Right"
"271",3.6692,7.4698,4.5549,1,"LO","Left"
"272",4.2724,9.1546,5.633,1,"LO","Left"
"273",3.0825,6.4313,5.4791,1,"LO","Left"
"274",3.7353,7.9349,5.6056,1,"LO","Left"
"275",5.6669,15.299,8.4526,1,"LO","Left"
"276",1.2919,3.3018,2.5959,1,"LO","Left"
"277",1.1296,2.7513,2.7602,1,"LO","Left"
"278",1.5471,1.8457,2.1883,1,"LO","Left"
"279",3.2746,7.1252,6.0666,1,"LO","Left"
"280",2.6971,10.535,4.395,1,"LO","Left"
"281",-0.83997,1.1605,-0.18519,1,"LO","Left"
"282",0.21354,1.3209,1.0091,1,"LO","Left"
"283",1.8022,2.9628,2.7889,1,"LO","Left"
"284",1.1593,4.0743,1.347,1,"LO","Left"
"285",0.51525,2.8112,1.022,1,"LO","Left"
"286",1.3599,2.1065,0.62163,1,"LO","Left"
"287",2.6931,14.4289,4.0744,1,"LO","Left"
"288",0.6322,5.3933,1.246,1,"LO","Left"
"289",0.3604,-0.90357,-0.37176,1,"LO","Left"
"290",0.012557,2.6087,0.65923,1,"LO","Left"
"291",-0.71336,3.6435,0.28432,1,"LO","Left"
"292",-0.72909,-0.053916,-0.69173,1,"LO","Left"
"293",0.047138,1.3428,-0.24962,1,"LO","Left"
"294",0.80145,1.3119,0.69468,1,"LO","Left"
"295",0.0004588,-1.1919,-0.39704,1,"LO","Left"
"296",-0.099786,2.9488,-1.3284,1,"LO","Left"
"297",1.1812,1.3893,-0.84869,1,"LO","Left"
"298",0.55329,-0.54427,-0.20661,1,"LO","Left"
"299",1.8045,0.33804,0.7071,1,"LO","Left"
"300",0.83276,1.4592,1.5186,1,"LO","Left"
"301",-0.3195,1.8425,1.4087,1,"LO","Right"
"302",-0.50304,1.4884,0.90837,1,"LO","Right"
"303",-0.72585,1.8177,0.80962,1,"LO","Right"
"304",0.095079,-0.21718,0.22161,1,"LO","Right"
"305",-0.17491,1.1021,1.013,1,"LO","Right"
"306",0.15395,-0.18418,-0.98512,1,"LO","Right"
"307",0.37035,1.5394,1.7142,1,"LO","Right"
"308",0.42456,0.73915,1.6526,1,"LO","Right"
"309",0.56779,1.0116,-0.049977,1,"LO","Right"
"310",1.3419,1.0981,0.78097,1,"LO","Right"
"311",1.3577,2.9856,1.8936,1,"LO","Right"
"312",1.0334,2.0859,1.4278,1,"LO","Right"
"313",0.12381,2.2526,0.81703,1,"LO","Right"
"314",-0.30333,1.6411,0.25951,1,"LO","Right"
"315",-0.86358,0.78968,0.68482,1,"LO","Right"
"316",-0.022239,1.6931,0.72257,1,"LO","Right"
"317",-0.073996,0.92368,0.27145,1,"LO","Right"
"318",0.47862,1.9402,1.0819,1,"LO","Right"
"319",-1.1665,-0.087222,-0.77402,1,"LO","Right"
"320",0.007161,0.16908,-0.27836,1,"LO","Right"
"321",0.43424,1.3558,1.891,1,"LO","Right"
"322",-0.48947,2.2928,0.77151,1,"LO","Right"
"323",-0.46967,0.63158,-0.077909,1,"LO","Right"
"324",0.36944,2.1255,1.1537,1,"LO","Right"
"325",0.90305,1.6586,1.4665,1,"LO","Right"
"326",0.68937,1.1584,0.3445,1,"LO","Right"
"327",0.5599,2.2173,0.95902,1,"LO","Right"
"328",0.41099,1.6743,1.9047,1,"LO","Right"
"329",1.0871,2.0517,1.8792,1,"LO","Right"
"330",0.97629,3.3579,2.2264,1,"LO","Right"
"331",3.3863,0.577,3.8949,2,"FFA","Left"
"332",1.7301,0.30933,2.7062,2,"FFA","Left"
"333",0.68478,1.8075,1.589,2,"FFA","Left"
"334",2.2203,1.538,1.4136,2,"FFA","Left"
"335",1.7028,1.2306,1.9136,2,"FFA","Left"
"336",1.9401,0.75281,1.4826,2,"FFA","Left"
"337",1.3073,-0.19309,1.6174,2,"FFA","Left"
"338",2.2752,1.8703,2.0025,2,"FFA","Left"
"339",1.0872,0.058937,1.2279,2,"FFA","Left"
"340",7.2267,5.7115,6.2501,2,"FFA","Left"
"341",0.24319,-1.0433,0.90493,2,"FFA","Left"
"342",3.2526,0.83245,2.1329,2,"FFA","Left"
"343",-0.33843,0.62175,-0.49629,2,"FFA","Left"
"344",-0.29963,-0.28706,-0.27473,2,"FFA","Left"
"345",0.58866,0.93498,1.7893,2,"FFA","Left"
"346",1.2855,1.1873,0.85783,2,"FFA","Left"
"347",1.0186,0.25833,1.0833,2,"FFA","Left"
"348",2.7892,1.5006,3.3901,2,"FFA","Left"
"349",4.6912,2.8781,3.897,2,"FFA","Left"
"350",1.317,1.1054,0.7746,2,"FFA","Left"
"351",1.2402,-0.56187,1.3284,2,"FFA","Left"
"352",3.3534,1.2319,2.324,2,"FFA","Left"
"353",-0.80933,-0.089764,0.62163,2,"FFA","Left"
"354",1.5702,1.448,1.0219,2,"FFA","Left"
"355",1.2702,1.2224,0.86966,2,"FFA","Left"
"356",1.0402,0.87903,1.6652,2,"FFA","Left"
"357",0.9998,0.83791,0.061447,2,"FFA","Left"
"358",-0.96099,-0.64088,-0.027603,2,"FFA","Left"
"359",0.64515,0.9913,0.069849,2,"FFA","Left"
"360",1.5382,0.40755,1.1616,2,"FFA","Left"
"361",5.0242,1.8558,3.8339,2,"FFA","Right"
"362",10.2476,0.054147,6.9678,2,"FFA","Right"
"363",17.1043,6.4214,15.3785,2,"FFA","Right"
"364",3.3753,2.5297,4.2912,2,"FFA","Right"
"365",-2.1099,-6.0774,-4.6323,2,"FFA","Right"
"366",3.3029,3.6831,1.6434,2,"FFA","Right"
"367",6.1952,3.2921,5.4969,2,"FFA","Right"
"368",1.5561,-0.2142,0.54187,2,"FFA","Right"
"369",2.9328,1.7335,3.1512,2,"FFA","Right"
"370",2.2036,0.78064,2.384,2,"FFA","Right"
"371",1.7008,0.62088,0.58997,2,"FFA","Right"
"372",0.95195,0.096954,1.0116,2,"FFA","Right"
"373",2.7611,1.0906,2.6126,2,"FFA","Right"
"374",4.8799,1.851,3.883,2,"FFA","Right"
"375",1.8709,-0.12153,1.8692,2,"FFA","Right"
"376",2.0208,0.013903,1.2799,2,"FFA","Right"
"377",1.3536,0.4059,1.2723,2,"FFA","Right"
"378",2.2598,-1.7451,1.8394,2,"FFA","Right"
"379",3.9484,1.958,3.1147,2,"FFA","Right"
"380",2.7089,1.2566,3.07,2,"FFA","Right"
"381",-0.017547,-2.5193,-0.97772,2,"FFA","Right"
"382",0.076432,-0.67451,0.08875,2,"FFA","Right"
"383",0.13255,-0.63578,0.16857,2,"FFA","Right"
"384",-0.61234,-0.9223,-0.15462,2,"FFA","Right"
"385",1.4149,0.14201,1.9736,2,"FFA","Right"
"386",1.0583,-0.059322,-0.15119,2,"FFA","Right"
"387",3.6364,1.8573,3.2993,2,"FFA","Right"
"388",2.3154,0.67477,2.3535,2,"FFA","Right"
"389",1.6814,0.55628,1.4433,2,"FFA","Right"
"390",3.7056,1.3473,3.0084,2,"FFA","Right"
"391",1.8369,-0.98987,1.2809,2,"FBA","Left"
"392",1.2538,-0.35055,0.68575,2,"FBA","Left"
"393",1.0021,0.73571,1.4934,2,"FBA","Left"
"394",0.52063,1.8708,1.6588,2,"FBA","Left"
"395",1.9891,1.4491,2.5716,2,"FBA","Left"
"396",0.37594,-0.89055,0.64176,2,"FBA","Left"
"397",0.74536,0.27629,0.57112,2,"FBA","Left"
"398",-0.53199,-0.12114,0.16047,2,"FBA","Left"
"399",1.7504,1.9461,1.5349,2,"FBA","Left"
"400",1.004,1.3122,1.3366,2,"FBA","Left"
