info,ROI,subj,CV_num,voxels_num,Rsq,A_coef,B_coef,CI_l_A_coef,CI_h_A_coef,CI_l_B_coef,CI_h_B_coef
FaceBody_ROIs,FFA_left,BuEl,1,5,0.948712845642346,0.456969094329924,1.01545719583864,-0.0581652241125094,0.972103412772357,0.0445199587442782,1.986394432933
FaceBody_ROIs,FFA_right,BuEl,1,5,0.888020395710906,0.631312558044096,0.472462553922319,0.26877192475289,0.993853191335301,0.0374685353492758,0.907456572495361
FaceBody_ROIs,FBA_right,BuEl,1,5,0.572450684296513,0.326350575391858,0.540950193705481,-0.924301640763158,1.57700279154687,-0.485047830907389,1.56694821831835
FaceBody_ROIs,Fus_overlap_right,BuEl,1,5,0.935640652281401,0.618030989857549,0.403584579120991,-0.378012812454928,1.61407479217003,-1.23632299048694,2.04349214872892
FaceBody_ROIs,OFA_left,BuEl,1,5,0.887371634799374,0.622001941664678,0.862535258026009,0.288599141163632,0.955404742165723,-0.0319725450573032,1.75704306110932
FaceBody_ROIs,EBA_left,BuEl,1,5,0.991667517363904,-0.14320111821857,0.946695640380346,-0.566353611394047,0.279951374956908,0.802343908834482,1.09104737192621
FaceBody_ROIs,OFA_right,BuEl,1,5,0.961278976926722,0.653681550125782,0.1294326679401,0.47120919743455,0.836153902817013,-0.210876163540613,0.469741499420812
FaceBody_ROIs,EBA_right,BuEl,1,5,0.981571052174413,0.308867526933571,0.767890513232146,-1.36111261160338,1.97884766547052,-0.42113324962547,1.95691427608976
FaceBody_ROIs,FFA_left,BuEl,1,10,0.957445282988812,0.419419868722281,0.889742341436308,0.149204525806213,0.689635211638349,0.42946175577102,1.3500229271016
FaceBody_ROIs,FFA_right,BuEl,1,10,0.883027537882015,0.586621400695466,0.444496274170428,0.335335088116529,0.837907713274403,0.103197752392372,0.785794795948484
FaceBody_ROIs,FBA_right,BuEl,1,10,0.771125051923486,0.491791650177548,0.400450784722305,0.0995262451394991,0.884057055215598,0.119229586947724,0.681671982496886
FaceBody_ROIs,Fus_overlap_right,BuEl,1,10,0.905565257011139,0.930798306416457,-0.0731688221979431,0.523565962647578,1.33803065018534,-0.780355187057668,0.634017542661782
FaceBody_ROIs,OFA_left,BuEl,1,10,0.946371663796905,0.571851712657882,0.65020116987903,0.371690137870704,0.772013287445061,0.199145336655971,1.10125700310209
FaceBody_ROIs,EBA_left,BuEl,1,10,0.958674480625952,0.105479732254686,0.845081934260317,-0.281532205226494,0.492491669735867,0.704711135364054,0.98545273315658
FaceBody_ROIs,OFA_right,BuEl,1,10,0.970819176705482,0.591367986338748,0.25202608582676,0.500493149491543,0.682242823185953,0.0511250665619003,0.45292710509162
FaceBody_ROIs,EBA_right,BuEl,1,10,0.980784959592496,0.417718986141083,0.670500807018735,-0.380705118001523,1.21614309028369,0.092339514236349,1.24866209980112
FaceBody_ROIs,FFA_left,BuEl,1,15,0.967124077564081,0.396417477426327,0.82399755477183,0.149278302398198,0.643556652454456,0.4236244582705,1.22437065127316
FaceBody_ROIs,FFA_right,BuEl,1,15,0.867525098331485,0.511686875805121,0.643733586236645,0.259069866044717,0.764303885565525,0.31409346873419,0.9733737037391
FaceBody_ROIs,FBA_right,BuEl,1,15,0.717457708691924,0.483049187322275,0.462388461773332,0.113980823431932,0.852117551212618,0.186733397214734,0.73804352633193
FaceBody_ROIs,Fus_overlap_right,BuEl,1,15,0.905060862917313,0.789059075986494,0.180865003718451,0.52455510387588,1.05356304809711,-0.282106053385627,0.643836060822529
FaceBody_ROIs,OFA_left,BuEl,1,15,0.899599383135623,0.603330357656702,0.461117730015671,0.424221055539715,0.782439659773689,0.0799979843561173,0.842237475675225
FaceBody_ROIs,EBA_left,BuEl,1,15,0.967932490132236,0.0711461010329423,0.844268704425238,-0.228470602370803,0.370762804436687,0.730889117347389,0.957648291503087
FaceBody_ROIs,OFA_right,BuEl,1,15,0.964860328153746,0.622908603586442,0.376560952830676,0.505681093882764,0.74013611329012,0.127528810480827,0.625593095180524
FaceBody_ROIs,EBA_right,BuEl,1,15,0.993405011103079,0.691823376075395,0.48160691652394,0.345520753177085,1.0381259989737,0.260360427069824,0.702853405978056
FaceBody_ROIs,FFA_left,BuEl,1,20,0.96284302908184,0.367192270966255,0.818706254112606,0.0873145930890939,0.647069948843416,0.368515756918946,1.26889675130627
FaceBody_ROIs,FFA_right,BuEl,1,20,0.885000670626343,0.658792172255134,0.563292367272995,0.407435381405954,0.910148963104314,0.228185920402383,0.898398814143607
FaceBody_ROIs,FBA_right,BuEl,1,20,0.678088343476416,0.490623067342438,0.5233993632755,0.165944124970364,0.815302009714511,0.287551966736663,0.759246759814336
FaceBody_ROIs,Fus_overlap_right,BuEl,1,20,0.931495826699782,0.775561796294104,0.18586982375057,0.56260756957029,0.988516023017918,-0.162036192900417,0.533775840401558
FaceBody_ROIs,OFA_left,BuEl,1,20,0.892165792031922,0.601711730758798,0.460921731336272,0.447224093413796,0.7561993681038,0.127486313025691,0.794357149646853
FaceBody_ROIs,EBA_left,BuEl,1,20,0.967473498735575,0.0359653932106411,0.843956148123701,-0.188909365477331,0.260840151898613,0.756180174836473,0.93173212141093
FaceBody_ROIs,OFA_right,BuEl,1,20,0.9832435456179,0.596754841241007,0.290240238259186,0.466108483926682,0.727401198555331,0.0227671733043508,0.557713303214021
FaceBody_ROIs,EBA_right,BuEl,1,20,0.992706840096121,0.614015927004153,0.528327719935517,0.323033684096385,0.904998169911921,0.340140439266046,0.716515000604988
