subj,Wf,Wb,sum,diff,Rsq,face_object_t_s,body_object_t_s,faceBody_object_t_s,face_body_s,face_object_t_us,body_object_t_us,face_PSC,body_PSC,person_PSC,X,Y,Z,voxel_num
1,0.889218114248185,0.319940055812532,1.20915817006072,0.470805286298539,0.851109631892727,6.13365125656128,2.41193866729736,4.96339559555054,3.97151970863342,0.695422530174255,0.546969592571259,-0.810684621487905,-1.02212778880092,-1.12219642499926,-39.2632479667664,-59.1932978630066,-19.4683811664581,27
1,0.942116370980167,0.11505542448534,1.05717179546551,0.782333533719225,0.869053872765058,7.26018095016479,1.58599030971527,5.16280698776245,5.95468425750732,3.50919532775879,-0.163912266492844,2.65676528051603,1.85527560229047,1.91641770559564,-39.3151576519012,-55.1967239379883,-19.6255486011505,25
1,0.869221071994688,0.275204361247211,1.1444254332419,0.519052350195296,0.896927353138232,4.74518537521362,1.85896813869476,3.83591938018799,3.07939267158508,1.28916573524475,1.18329036235809,0.73514712049615,1.3749418051991,1.45908880908733,-39.3670673370361,-51.20015001297,-19.7827160358429,23
1,0.0447351306465841,1.04136850426406,1.08610363491065,-0.917622721794381,0.888998215155701,1.79070043563843,5.27647352218628,4.01524257659912,-3.35809564590454,2.25321245193481,4.23288488388062,-0.43222843845516,0.705630302759803,2.0707632875531,-47.4698643684387,-43.3136734962463,-20.1676452159882,11
1,0.683745936825785,0.396333915837189,1.08007985266297,0.26610256665743,0.414042434506093,4.84402370452881,3.2573139667511,4.6789026260376,1.80018842220306,-0.290090620517731,1.24829530715942,0.116297574767353,-0.214937792603294,-0.0524215649529151,-39.3006105422974,-59.0366084575653,-15.4716260433197,27
1,0.842973905388724,0.292630240773197,1.13560414616192,0.484626325533912,0.775525416989296,5.48916339874268,2.95701003074646,4.89002799987793,2.76527309417725,2.41084432601929,1.23309171199799,0.991547760365136,0.171642704201631,1.12398537836016,-39.3525202274323,-55.040034532547,-15.6287934780121,27
1,0.664208676684873,0.644909354092858,1.30911803077773,0.014742232662206,0.74075123413949,4.73581647872925,2.76597046852112,4.3394570350647,2.17354369163513,0.0561430267989635,-0.159375637769699,-0.722852604337567,-0.0838178432021591,-0.369390992843871,-43.3520090579987,-55.0933701992035,-15.6640906333923,27
1,1.12855592144017,-0.0229662650077352,1.10558965643244,1.04154573059564,0.810338038712901,5.74201011657715,3.07945108413696,5.10755014419556,2.90625214576721,1.71442544460297,-0.0790100321173668,1.25888470968725,0.759320189620908,1.87796698146581,-39.4044299125671,-51.0434606075287,-15.7859609127045,27
1,0.738524516344966,0.585522881917228,1.32404739826219,0.115556010025436,0.721598573535747,4.40306711196899,2.64798927307129,4.07741451263428,1.94537711143494,0.994158685207367,-0.13567616045475,0.467609938337402,-0.0931836380173287,0.309014660549093,-43.4039187431335,-51.0967962741852,-15.8212580680847,27
1,0.855433575632542,0.484474068232111,1.33990764386465,0.27685453478755,0.724075745154565,4.99911594390869,4.19796323776245,5.29811143875122,1.0314804315567,1.73743152618408,0.652921855449677,0.324794385486381,0.910226562456647,0.534131479465803,-39.456339597702,-47.0468866825104,-15.9431283473969,26
