"","subj","voxel_ind","Wf_FB","Wb_FB","sum_FB","diff_FB","Rsq_FB","face_others_t_loc","body_others_t_loc","object_others_t_loc","face_body_t_loc","face_object_t_loc","face_PSC_FB","body_PSC_FB","combined_PSC_FB","X","Y","Z","voxel_num"
"1",1,140859,0.446346366742958,0.550219147016285,0.996565513759243,-0.103872780273327,0.824443556185173,-1.89944243431091,-2.72374200820923,-1.61543536186218,0.54800146818161,-0.205224335193634,2.51043049500107,1.51237356175456,1.46111687412214,-12.0453069210052,-99.5434279441833,-12.955539226532,27
"2",1,160657,0.42384582172991,0.917218397778641,1.34106421950855,-0.493372576048731,0.799783909287396,-1.95401215553284,-1.66204071044922,-1.03329682350159,-0.156224057078362,-0.589538753032684,0.163321921727451,1.7871478471808,2.0986709302286,-7.77243065834045,-103.236929178238,-8.94298624992371,19
"3",1,160659,-0.11074382522431,1.03659582502416,0.925851999799854,-1.14733965024847,0.595024224142485,-0.790787935256958,-0.87109249830246,-1.7395191192627,0.0621225349605083,0.556930243968964,1.8320624268153,3.14270703491011,2.77944077068255,-11.7650415897369,-103.475904464722,-8.89880633354187,21
"4",1,160841,0.566666297342294,0.189832834371122,0.756499131713417,0.376833462971172,0.943989497205552,3.65940833091736,-7.3577036857605,-2.44604516029358,6.90539455413818,3.74175405502319,3.38367007898742,2.20376063280102,1.61983596929709,23.928858757019,-97.3327217102051,-9.35381412506104,20
"5",1,160845,0.453982565845854,0.43681239821776,0.890794964063614,0.017170167628094,0.971301862355016,-0.498673230409622,-8.04756450653076,-0.956329107284546,4.77490568161011,0.266543418169022,0.346225025639166,0.905585991086023,0.552272388808707,15.9436368942261,-97.8106722831726,-9.26545429229736,26
"6",1,160855,0.00763332982744706,0.874794592415367,0.882427922242814,-0.86716126258792,0.969146761882664,-5.12073850631714,-2.19241619110107,-0.14307102560997,-1.77561843395233,-3.08911061286926,2.71946873932072,12.3702278666745,11.2456848955989,-4.01941776275635,-99.0055487155914,-9.04455471038818,15
"7",1,160857,-0.11106189290196,0.824704346638291,0.713642453736331,-0.935766239540251,0.893615418325037,-3.72823047637939,-4.09275341033936,0.033907126635313,0.283989310264587,-2.33219957351685,-0.893888225326034,5.00116937835103,4.91831206958324,-8.01202869415283,-99.2445240020752,-9.00037479400635,27
"8",1,160859,0.229770917463467,0.745268757208139,0.975039674671606,-0.515497839744672,0.765435363783734,-1.34530520439148,-3.84928727149963,-1.03767573833466,1.60086095333099,-0.209457904100418,0.158165800063982,-0.411344792635909,-0.258531560565472,-12.0046396255493,-99.483499288559,-8.95619487762451,27
"9",1,160861,0.255579678276599,0.796934059932637,1.05251373820924,-0.541354381656038,0.887803853511553,-1.73862195014954,-2.34771919250488,-1.37564611434937,0.409765064716339,-0.249868780374527,3.12329879206591,2.88709165545904,3.37850916922821,-15.9972505569458,-99.7224745750427,-8.91201496124268,27
"10",1,160863,0.539332711570496,0.307989216046661,0.847321927617157,0.231343495523835,0.922570147078659,-3.2734899520874,-2.88330674171448,-0.866820454597473,-0.199224203824997,-1.50794219970703,1.15650387868014,2.02314002672967,1.58237802977065,-19.9898614883423,-99.9614498615265,-8.86783504486084,27
"11",1,161055,0.43652437796778,0.45500838262161,0.891532760589389,-0.01848400465383,0.743188526510217,-4.29794692993164,-7.25144910812378,1.35111892223358,1.92734777927399,-3.47849559783936,-1.17297828736227,6.72819851702335,4.21917985761567,-4.25901579856873,-95.0131435394287,-9.10194325447083,21
"12",1,161653,0.600436293081539,0.484710289686374,1.08514658276791,0.115726003395165,0.706457603861949,-0.786040723323822,-9.05086612701416,1.27932691574097,5.2312183380127,-1.25762462615967,-1.85171432438582,1.75943428323516,0.438382792663511,-0.985198974609375,-82.7969527244568,-9.31828880310059,17
"13",1,161655,0.883526175800942,0.292354830409406,1.17588100621035,0.591171345391536,0.837299471065654,-3.43111085891724,-9.27538776397705,2.95360565185547,3.74059748649597,-3.90576934814453,-1.00708429392013,0.343510683412753,-0.620105634251776,-4.97780990600586,-83.0359280109406,-9.27410888671875,26
"14",1,161851,0.356511116394106,0.69516781313402,1.05167892952813,-0.338656696739914,0.820182256126764,2.37380814552307,-4.17699813842773,-1.86105620861053,4.10311317443848,2.5923912525177,-3.29119644267706,0.518884779781094,0.349809959668616,2.76781392097473,-78.5655722618103,-9.41985726356506,13
"15",1,161855,0.711336253657077,0.217746776287385,0.929083029944462,0.493589477369692,0.639570938492726,-3.85835981369019,-5.94085073471069,1.50084555149078,1.37089693546295,-3.29606103897095,-0.491457448341409,-0.712456923125799,-0.228754543928647,-5.21740794181824,-79.0435228347778,-9.33149743080139,22
"16",1,180657,0.170845820471194,0.849315648930763,1.02016146940196,-0.678469828459569,0.939698122148281,-3.08820033073425,-1.36643600463867,0.323276191949844,-1.04289400577545,-2.10954737663269,1.18868231400923,5.48256363183348,4.38993700095307,-7.73176336288452,-103.177000522614,-4.94364190101624,21
"17",1,180659,0.0793160979469908,0.86154544776789,0.94086154571488,-0.782229349820899,0.904966448635227,-2.4429304599762,-2.12100529670715,0.324219763278961,-0.168091416358948,-1.70999896526337,-0.479045102004174,1.77811702322112,1.20150923131696,-11.724374294281,-103.415975809097,-4.8994619846344,25
"18",1,180841,0.396280095629929,0.411072477184531,0.80735257281446,-0.014792381554602,0.952182933422117,2.59179019927979,-7.94018459320068,-1.18184113502502,6.61438941955566,2.31863498687744,3.30453650688326,2.70829675755855,2.41920922516709,23.969526052475,-97.2727930545807,-5.35446977615356,18
