"","subj","voxel_ind","Wf_FO","Wo_FO","sum_FO","diff_FO","Rsq_FO","face_others_t_loc","body_others_t_loc","object_others_t_loc","face_body_t_loc","face_object_t_loc","face_PSC_FO","object_PSC_FO","combined_PSC_FO","X","Y","Z","voxel_num"
"1",1,140859,0.450885025572049,0.650755176101475,1.10164020167352,-0.199870150529426,0.869347940879673,-1.89944243431091,-2.72374200820923,-1.61543536186218,0.54800146818161,-0.205224335193634,3.46365268311539,2.43357888188738,3.13742032674881,-12.0453069210052,-99.5434279441833,-12.955539226532,26
"2",1,160657,0.0249253884410096,0.959666612707027,0.984592001148036,-0.934741224266017,0.700180605452725,-1.95401215553284,-1.66204071044922,-1.03329682350159,-0.156224057078362,-0.589538753032684,-0.307864908501227,0.133682121003035,-0.827690524882108,-7.77243065834045,-103.236929178238,-8.94298624992371,17
"3",1,160659,-0.427657417729731,1.26711320693407,0.839455789204342,-1.6947706246638,0.755285622905947,-0.790787935256958,-0.87109249830246,-1.7395191192627,0.0621225349605083,0.556930243968964,2.37706602495962,1.9708817488176,0.667372034653388,-11.7650415897369,-103.475904464722,-8.89880633354187,17
"4",1,160841,0.550049244874414,0.56916615188791,1.11921539676232,-0.019116907013496,0.941762475615262,3.65940833091736,-7.3577036857605,-2.44604516029358,6.90539455413818,3.74175405502319,5.18776570597858,2.55722242207145,3.49513936726958,23.928858757019,-97.3327217102051,-9.35381412506104,17
"5",1,160845,0.682775442070836,0.479976359831263,1.1627518019021,0.202799082239573,0.964615988077369,-0.498673230409622,-8.04756450653076,-0.956329107284546,4.77490568161011,0.266543418169022,1.35177640581379,0.848587297486008,1.51253459892752,15.9436368942261,-97.8106722831726,-9.26545429229736,25
"6",1,160855,0.170720032343024,0.927861364476115,1.09858139681914,-0.757141332133091,0.958220589723586,-5.12073850631714,-2.19241619110107,-0.14307102560997,-1.77561843395233,-3.08911061286926,4.66978377109611,7.63001856952492,7.44779637228247,-4.01941776275635,-99.0055487155914,-9.04455471038818,15
"7",1,160857,0.149358428497527,0.894788554984081,1.04414698348161,-0.745430126486554,0.916686262840566,-3.72823047637939,-4.09275341033936,0.033907126635313,0.283989310264587,-2.33219957351685,-0.165452388838812,5.71791923266175,4.46091459689379,-8.01202869415283,-99.2445240020752,-9.00037479400635,27
"8",1,160859,0.269187879169868,0.859045720260229,1.1282335994301,-0.589857841090361,0.862653865512281,-1.34530520439148,-3.84928727149963,-1.03767573833466,1.60086095333099,-0.209457904100418,0.274509610632352,-0.79253910335313,-0.769370277077726,-12.0046396255493,-99.483499288559,-8.95619487762451,27
"9",1,160861,0.365010338578978,0.862702391158193,1.22771272973717,-0.497692052579215,0.706224088324039,-1.73862195014954,-2.34771919250488,-1.37564611434937,0.409765064716339,-0.249868780374527,2.97691751451755,0.835781008064088,2.31390642482875,-15.9972505569458,-99.7224745750427,-8.91201496124268,27
"10",1,160863,0.593759251400784,0.349439947051517,0.943199198452301,0.244319304349267,0.711953224661279,-3.2734899520874,-2.88330674171448,-0.866820454597473,-0.199224203824997,-1.50794219970703,0.882925153091786,0.287135907788719,0.438195523934531,-19.9898614883423,-99.9614498615265,-8.86783504486084,25
"11",1,161055,0.230906654849802,0.733049875292854,0.963956530142657,-0.502143220443052,0.708185583276995,-4.29794692993164,-7.25144910812378,1.35111892223358,1.92734777927399,-3.47849559783936,1.86109075647768,3.6705097282027,3.44640934875328,-4.25901579856873,-95.0131435394287,-9.10194325447083,21
"12",1,161653,0.677821102596587,0.57811788981388,1.25593899241047,0.099703212782707,0.881274236903108,-0.786040723323822,-9.05086612701416,1.27932691574097,5.2312183380127,-1.25762462615967,-1.34617989555562,1.39588675918289,-0.513644482427651,-0.985198974609375,-82.7969527244568,-9.31828880310059,17
"13",1,161655,0.360737560513376,0.458609477293268,0.819347037806643,-0.097871916779892,0.826057034256967,-3.43111085891724,-9.27538776397705,2.95360565185547,3.74059748649597,-3.90576934814453,-2.78982775102577,-2.31784766461646,-0.80933005514223,-4.97780990600586,-83.0359280109406,-9.27410888671875,26
"14",1,161851,1.75118576848943,0.511701203967162,2.2628869724566,1.23948456452227,0.898333039117018,2.37380814552307,-4.17699813842773,-1.86105620861053,4.10311317443848,2.5923912525177,0.464378330732497,3.4056358486916,2.91838784672368,2.76781392097473,-78.5655722618103,-9.41985726356506,13
"15",1,161855,0.413046973464902,0.42402695647925,0.837073929944153,-0.010979983014348,0.717572199096343,-3.85835981369019,-5.94085073471069,1.50084555149078,1.37089693546295,-3.29606103897095,-2.45428064954198,-3.06357193340518,-2.77631281149643,-5.21740794181824,-79.0435228347778,-9.33149743080139,22
"16",1,180657,0.179252472516435,0.746621624247058,0.925874096763493,-0.567369151730623,0.964833605816722,-3.08820033073425,-1.36643600463867,0.323276191949844,-1.04289400577545,-2.10954737663269,1.56071335590187,7.59122980300552,5.94032832338401,-7.73176336288452,-103.177000522614,-4.94364190101624,17
"17",1,180659,0.171599236442693,0.724176472053567,0.89577570849626,-0.552577235610874,0.896219284908701,-2.4429304599762,-2.12100529670715,0.324219763278961,-0.168091416358948,-1.70999896526337,0.581001770385923,1.8862807399825,0.76987292895535,-11.724374294281,-103.415975809097,-4.8994619846344,18
"18",1,180841,0.472676595457779,0.984599409419337,1.45727600487712,-0.511922813961558,0.96354956726789,2.59179019927979,-7.94018459320068,-1.18184113502502,6.61438941955566,2.31863498687744,3.38896595476363,-0.388212842788269,1.61737735964868,23.969526052475,-97.2727930545807,-5.35446977615356,17
