"","face_PSC","body_PSC","person_PSC","subj","ROI","hemi"
"3484",3.5373,1.2938,3.5122,15,"FFA","Right"
"3485",1.405,0.29697,1.5454,15,"FFA","Right"
"3486",-0.12734,-0.34471,0.10158,15,"FFA","Right"
"3487",0.67367,-0.27883,0.20128,15,"FFA","Right"
"3488",2.8705,0.96092,2.7667,15,"FFA","Right"
"3489",1.31,0.77858,1.4162,15,"FFA","Right"
"3490",2.0611,0.79922,1.336,15,"FFA","Right"
"3491",2.5228,1.95,3.9264,15,"FFA","Right"
"3492",4.0884,2.0012,4.653,15,"FFA","Right"
"3493",0.33008,0.52428,0.86398,15,"FFA","Right"
"3494",2.915,1.6058,3.975,15,"FFA","Right"
"3495",5.8359,3.2161,6.2952,15,"FFA","Right"
"3496",3.7771,2.6126,3.8804,15,"FFA","Right"
"3497",0.54727,-0.13904,0.094167,15,"FFA","Right"
"3498",0.84991,0.67967,0.88454,15,"FFA","Right"
"3499",3.1994,1.5918,3.629,15,"FFA","Right"
"3500",1.9283,0.82592,1.8204,15,"FFA","Right"
"3501",0.72184,0.64143,0.21318,15,"FFA","Right"
"3502",1.9503,0.99716,1.9224,15,"FFA","Right"
"3503",1.6965,1.0092,2.5303,15,"FFA","Right"
"3504",1.3346,0.22386,1.6265,15,"FFA","Right"
"3505",-0.12438,0.3056,0.70222,15,"FFA","Right"
"3506",1.3722,0.41086,0.71579,15,"FFA","Right"
"3507",3.8858,2.1023,3.4981,15,"FFA","Right"
"3508",-0.55483,-0.13865,-0.075189,15,"FFA","Right"
"3509",1.7506,1.37,2.1286,15,"FFA","Right"
"3510",3.0286,2.0603,2.8189,15,"FFA","Right"
"3511",-0.68072,-0.14102,-0.4042,15,"FBA","Right"
"3512",1.5493,1.2268,1.5061,15,"FBA","Right"
"3513",0.3382,0.54597,1.0872,15,"FBA","Right"
"3514",0.97419,1.7143,2.0962,15,"FBA","Right"
"3515",0.36576,-0.35179,0.36489,15,"FBA","Right"
"3516",1.6723,2.5643,3.1118,15,"FBA","Right"
"3517",1.0622,0.99053,0.8852,15,"FBA","Right"
"3518",0.86996,1.0796,1.2628,15,"FBA","Right"
"3519",-0.1744,0.28818,0.51297,15,"FBA","Right"
"3520",0.59577,0.79169,0.64302,15,"FBA","Right"
"3521",-0.77173,-0.043995,-0.2875,15,"FBA","Right"
